NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Brighton Beach,40.577710196642435,-73.96135378598797,Not working,no train,Not working,no train
Sheepshead Bay,40.58654754707536,-73.95405791257907,Not working,no train,Not working,no train
Kings Hwy,40.608638645396006,-73.95760873538083,0.0,0.0,0.0,0.0
Newkirk Av,40.63514193733789,-73.96269486837261,0.0,0.0,0.0,0.0
Church Av,40.65049324646484,-73.96288246192114,0.0,0.0,0.0,0.0
Prospect Park,40.6616334551018,-73.96203130426609,0.0,0.0,0.0,0.0
7 Av,40.67710217983294,-73.97285279191024,0.0,0.0,0.0,0.0
Atlantic Av-Barclay's Center,40.684488323453685,-73.97678343963167,0.0,0.0,0.0,0.0
DeKalb Av,40.690648119969794,-73.98177094440949,0.0,0.0,0.0,0.0
Grand St,40.71826699954992,-73.99375299913589,0.0,0.0,0.0,0.0
Broadway-Lafayette St,40.725296998738045,-73.99620399876055,0.0,0.0,0.0,0.0
W 4 St-Washington Sq (Lower),40.732254493367876,-74.00030814755975,0.0,0.0,0.0,0.0
Herald Sq-34 St,40.74978939990011,-73.98777189072918,0.0,0.0,0.0,0.0
42 St-Bryant Pk,40.754184001312545,-73.98459099904711,0.0,0.0,0.0,0.0
47-50 Sts-Rockefeller Ctr,40.75864100159815,-73.98133100227702,0.0,0.0,0.0,0.0
7 Av,40.76297015245628,-73.98169782344476,0.0,0.0,0.0,0.0
59 St-Columbus Circle,40.768249531776064,-73.98164872301398,0.0,0.0,0.0,0.0
72 St,40.77551939729258,-73.976336575218,0.0,0.0,0.0,0.0
81 St,40.78134608418206,-73.97209794937208,0.0,0.0,0.0,0.0
86 St,40.78582304678557,-73.96882849429672,0.0,0.0,0.0,0.0
96 St,40.79161879767014,-73.96460245687166,0.0,0.0,0.0,0.0
103 St,40.796060739904526,-73.96137008267617,0.0,0.0,0.0,0.0
Cathedral Pkwy (110 St),40.800581558114956,-73.95806670661364,0.0,0.0,0.0,0.0
116 St,40.80505813344211,-73.95479778057312,0.0,0.0,0.0,0.0
125 St,40.811071672994565,-73.95224799734774,0.0,0.0,0.0,0.0
135 St,40.817905559212676,-73.94753480879213,0.0,0.0,0.0,0.0
145 St,40.824766360871905,-73.94408792823116,0.0,0.0,0.0,0.0
155 St,40.8301349999812,-73.93820899811622,0.0,0.0,0.0,0.0
161 St-Yankee Stadium,40.827904998845845,-73.92565099775477,0.0,0.0,0.0,0.0
167 St,40.83376899862797,-73.91843200082253,0.0,0.0,0.0,0.0
170 St,40.83930599964156,-73.91339999846983,0.0,0.0,0.0,0.0
174-175 Sts,40.84589999983414,-73.91013600050078,0.0,0.0,0.0,0.0
Tremont Av,40.850409999510234,-73.90522700122354,0.0,0.0,0.0,0.0
182-183 Sts,40.85609299881864,-73.90074099998965,0.0,0.0,0.0,0.0
Fordham Rd,40.861295998683495,-73.89774900102401,0.0,0.0,0.0,0.0
Kingsbridge Rd,40.86697799999945,-73.8935090000331,0.0,0.0,0.0,0.0
Bedford Park Blvd,40.87324399861646,-73.88713799889574,0.0,0.0,0.0,0.0
